MatchId,SummonerId,SummonerLevel,QueuesRanks,ChampionName,Mastery,LastTimeChampionPlayed,Summoner1,Summoner2,Role,Team
EUW1_6385829046,5NDq0EiIa68pI1-eNGFaDtxS-ol9ebl7zS5IxJ-VKNcv2ik,397,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'II'}]",Sylas,6870,1683052594000,4,14,UTILITY,Red
EUW1_6385829046,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,434,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Nunu,40298,1685734410000,12,4,TOP,Blue
EUW1_6385829046,CpudqwSRxgholWB4md_bKRzWryxctSXSaErmuocCiQZ4RAA,355,[],FiddleSticks,654046,1685734410000,11,4,JUNGLE,Blue
EUW1_6385829046,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Viktor,27997,1683405283000,12,4,MIDDLE,Blue
EUW1_6385829046,2pXqoE7-c0LvmQ1SGkmZVhgH6APnKtKmEo71DzOYEG5j5oQ,510,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_TFT_DOUBLE_UP', 'tier': 'SILVER', 'rank': 'I'}]",Ezreal,15762,1685631890000,4,7,BOTTOM,Blue
EUW1_6385829046,Q_mm2vTfvYGbHdrxAAE9RhbMKVI52knTyX6vAOPuaPR8m6M,358,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Bard,982579,1685278595000,14,4,UTILITY,Blue
EUW1_6380831543,Qx5XiyqpcGEqDuyJLXg8KxcyWHvC1knQsUByliyb7LK6OKs,695,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'II'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",Darius,108198,1685709515000,4,6,TOP,Red
EUW1_6380831543,uBapdXRiy2ZQP9CH09CSBG6sqp-4qSLmHJEeaRHr4svRHfOg38jAqidMQQ,170,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",XinZhao,10970,1682758303000,4,11,JUNGLE,Red
EUW1_6380831543,k4oSo0_R5LRmOEwqCj4q8fIo-wXxEsCASJUi_QqJirq8J170,61,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'III'}]",Akali,65725,1685753544000,4,14,MIDDLE,Red
EUW1_6380831543,ZhYGAPyS-yj7xGeieBjERCP4tvakC_Fb8bBdYAtumHRfI-A,216,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",MissFortune,714618,1685604827000,4,3,BOTTOM,Red
EUW1_6380831543,l8JpixqcjGgXMo2PL-YcYP7OPUAnwTv-9-bKHMCwzUbeQ9o,776,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'IV'}]",Lux,361236,1685330800000,4,3,UTILITY,Red
EUW1_6380831543,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,434,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Chogath,53248,1683405283000,12,4,TOP,Blue
EUW1_6380831543,jLJl_80cWzQ65T4lO55nA85CX289190VZGewUBTZdTBO0q8,188,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",MasterYi,10285,1682758304000,4,11,JUNGLE,Blue
EUW1_6380831543,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Viktor,27997,1683405283000,12,4,MIDDLE,Blue
EUW1_6380831543,3f81TN0v10mfFkJz8Q6rSVBxFqdk0BtGFaWi6QnTpC1YlRM,112,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}]",Jinx,48459,1682758304000,4,7,BOTTOM,Blue
EUW1_6380831543,IC-M0-fKtZ-56SY5HlVktpWzfwuXOcs_sTmu-E_ENNj0YFlj,70,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Thresh,8527,1682788956000,4,3,UTILITY,Blue
EUW1_6380801451,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,433,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",DrMundo,17004,1683043147000,12,4,TOP,Red
EUW1_6380801451,bgT1v-CG-9z-WgOZY3OX3TiIYnr_Pu0sezF8eAbxOEGVM-qRW0rRUTE1IQ,31,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'III'}]",Talon,5767,1682783713000,14,11,JUNGLE,Red
EUW1_6380801451,CyL1MjY834I09IdMtpAwb7-zsDA_46vZD_l5xcJPR8_a74I,269,[],Viktor,27997,1683405283000,12,4,MIDDLE,Red
EUW1_6380801451,nhIbqt0j8IJ5tydThsHg96qWUuj8_r99uJ4EndmAwf9RbdDi,409,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",MissFortune,77915,1685616397000,4,6,BOTTOM,Red
EUW1_6380801451,YlxDHMeLs9n3j4eSHqQbR3rFG5NlsGmSI_04C62t-xftZ8M,258,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",Rakan,9845,1682756044000,4,14,UTILITY,Red
